,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Genres,id,runtime,vote_average,vote_count
0,1,Inception,2010,13+,8.8,87%,1,0,0,0,"Action,Adventure,Sci-Fi,Thriller",27205,148.0,8.1,14075.0
1,2,The Matrix,1999,18+,8.7,87%,1,0,0,0,"Action,Sci-Fi",603,136.0,7.9,9079.0
2,3,Avengers: Infinity War,2018,13+,8.5,84%,1,0,0,0,"Action,Adventure,Sci-Fi",,,,
3,4,Back to the Future,1985,7+,8.5,96%,1,0,0,0,"Adventure,Comedy,Sci-Fi",105,116.0,8.0,6239.0
4,5,"The Good, the Bad and the Ugly",1966,18+,8.8,97%,1,0,1,0,Western,429,161.0,8.1,2371.0
5,6,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%,1,0,0,0,"Animation,Action,Adventure,Family,Sci-Fi",,,,
6,7,The Pianist,2002,18+,8.5,95%,1,0,1,0,"Biography,Drama,Music,War",423,150.0,8.1,1927.0
7,8,Django Unchained,2012,18+,8.4,87%,1,0,0,0,"Drama,Western",68718,165.0,7.8,10297.0
8,9,Raiders of the Lost Ark,1981,7+,8.4,95%,1,0,0,0,"Action,Adventure",85,115.0,7.7,3949.0
9,10,Inglourious Basterds,2009,18+,8.3,89%,1,0,0,0,"Adventure,Drama,War",16869,153.0,7.9,6598.0
10,11,Taxi Driver,1976,18+,8.3,95%,1,0,0,0,"Crime,Drama",103,114.0,8.1,2632.0
11,12,3 Idiots,2009,13+,8.4,100%,1,0,1,0,"Comedy,Drama",20453,170.0,7.8,850.0
12,13,Pan's Labyrinth,2006,18+,8.2,95%,1,0,0,0,"Drama,Fantasy,War",1417,118.0,7.6,3122.0
13,14,Room,2015,18+,8.1,93%,1,0,0,0,"Drama,Thriller",264644,117.0,8.1,2838.0
14,15,Monty Python and the Holy Grail,1975,7+,8.2,97%,1,0,0,0,"Adventure,Comedy,Fantasy",762,91.0,7.8,1742.0
15,16,Once Upon a Time in the West,1968,13+,8.5,95%,1,0,1,0,Western,335,175.0,8.1,1160.0
16,17,Indiana Jones and the Last Crusade,1989,13+,8.2,88%,1,0,0,0,"Action,Adventure",89,127.0,7.6,3221.0
17,18,Groundhog Day,1993,7+,8.0,96%,1,0,0,0,"Comedy,Fantasy,Romance",137,101.0,7.4,2358.0
18,19,The King's Speech,2010,18+,8.0,95%,1,0,0,0,"Biography,Drama,History",45269,118.0,7.6,2817.0
19,20,Her,2013,18+,8.0,95%,1,0,0,0,"Drama,Romance,Sci-Fi",152601,126.0,7.9,4215.0
20,21,There Will Be Blood,2007,18+,8.2,91%,1,0,0,0,Drama,7345,158.0,7.9,1581.0
21,22,The Social Network,2010,13+,7.7,96%,1,0,0,0,"Biography,Drama",37799,120.0,7.1,3492.0
22,23,Dallas Buyers Club,2013,18+,8.0,93%,1,0,0,0,"Biography,Drama",152532,117.0,7.9,2973.0
23,24,The Perks of Being a Wallflower,2012,13+,8.0,86%,1,0,0,0,"Drama,Romance",84892,102.0,7.7,3056.0
24,25,Life of Brian,1979,18+,8.1,95%,1,0,0,0,Comedy,583,94.0,7.7,1230.0
25,26,Ex Machina,2015,18+,7.7,92%,1,0,0,0,"Drama,Mystery,Sci-Fi,Thriller",264660,108.0,7.6,4862.0
26,27,Silver Linings Playbook,2012,18+,7.7,92%,1,0,0,0,"Comedy,Drama,Romance",82693,122.0,7.0,4840.0
27,28,District 9,2009,18+,7.9,90%,1,0,0,0,"Action,Sci-Fi,Thriller",17654,112.0,7.3,3451.0
28,29,The Irishman,2019,18+,7.9,96%,1,0,0,0,"Biography,Crime,Drama",,,,
29,30,Moon,2009,18+,7.9,90%,1,0,0,0,"Drama,Mystery,Sci-Fi",17431,97.0,7.6,1831.0
30,31,Marriage Story,2019,18+,8.0,95%,1,0,0,0,"Comedy,Drama,Romance",,,,
31,32,Drive,2011,18+,7.8,92%,1,0,1,0,"Crime,Drama",64690,100.0,7.4,3832.0
32,33,Train to Busan,2016,,7.5,94%,1,0,1,0,"Action,Horror,Thriller",396535,118.0,7.7,984.0
33,34,Incredibles 2,2018,7+,7.6,94%,1,0,0,0,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",,,,
34,35,Dangal,2016,7+,8.4,88%,1,0,0,0,"Action,Biography,Drama,Sport",360814,161.0,8.0,140.0
35,36,Klaus,2019,7+,8.2,94%,1,0,0,0,"Animation,Adventure,Comedy,Family",,,,
36,37,Minority Report,2002,13+,7.6,90%,1,0,0,0,"Action,Crime,Mystery,Sci-Fi,Thriller",180,145.0,7.1,2663.0
37,38,Mystic River,2003,18+,7.9,88%,1,0,0,0,"Crime,Drama,Mystery,Thriller",322,138.0,7.6,1473.0
38,39,Like Stars on Earth,2007,7+,8.4,91%,1,0,0,0,"Drama,Family",,,,
39,40,Ferris Bueller's Day Off,1986,13+,7.8,80%,1,0,0,0,Comedy,9377,103.0,7.5,1340.0
40,41,Despicable Me,2010,7+,7.6,81%,1,0,0,0,"Animation,Comedy,Family,Fantasy",20352,95.0,7.1,6595.0
41,42,Hell or High Water,2016,18+,7.6,97%,1,0,0,0,"Action,Crime,Drama,Thriller,Western",338766,102.0,7.2,1304.0
42,43,Sin City,2005,18+,8.0,77%,1,0,0,0,"Crime,Thriller",187,124.0,7.2,2755.0
43,44,Ip Man,2008,18+,8.0,85%,1,0,0,0,"Action,Adventure,Biography,Drama,History",14756,108.0,7.5,1309.0
44,45,Indiana Jones and the Temple of Doom,1984,7+,7.6,85%,1,0,0,0,"Action,Adventure",87,118.0,7.1,2841.0
45,46,The Theory of Everything,2014,13+,7.7,79%,1,0,0,0,"Biography,Drama,Romance",266856,123.0,7.8,3403.0
46,47,The Pursuit of Happyness,2006,13+,8.0,67%,1,0,0,0,"Biography,Drama",1402,117.0,7.7,2607.0
47,48,Senna,2010,13+,8.5,93%,1,0,0,0,"Documentary,Biography,Sport",58496,106.0,8.1,282.0
48,49,Scott Pilgrim vs. the World,2010,13+,7.5,81%,1,0,0,0,"Action,Comedy,Fantasy,Romance",22538,112.0,7.2,2185.0
49,50,Magnolia,1999,18+,8.0,83%,1,0,0,0,Drama,334,188.0,7.5,844.0
50,51,The Hateful Eight,2015,18+,7.8,75%,1,0,0,0,"Crime,Drama,Mystery,Thriller,Western",273248,167.0,7.6,4405.0
51,52,The Artist,2011,13+,7.9,95%,1,0,0,0,"Comedy,Drama,Romance",74643,100.0,7.3,1075.0
52,53,Moonlight,2016,18+,7.4,98%,1,0,0,0,Drama,376867,111.0,7.3,1831.0
53,54,Back to the Future Part II,1989,7+,7.8,65%,1,0,0,0,"Adventure,Comedy,Sci-Fi",165,108.0,7.4,3926.0
54,55,Willy Wonka & the Chocolate Factory,1971,all,7.8,91%,1,0,0,0,"Family,Fantasy,Musical",252,100.0,7.4,826.0
55,56,What's Eating Gilbert Grape,1993,13+,7.8,90%,1,0,1,0,Drama,1587,118.0,7.5,943.0
56,57,The Curious Case of Benjamin Button,2008,13+,7.8,71%,1,0,0,0,"Drama,Fantasy,Romance",4922,166.0,7.3,3398.0
57,58,A Silent Voice,2016,,8.2,94%,1,0,0,0,"Animation,Drama,Family,Romance",378064,130.0,8.1,157.0
58,59,Snowpiercer,2013,18+,7.1,94%,1,0,0,0,"Action,Drama,Sci-Fi,Thriller",110415,126.0,6.7,2910.0
59,60,Hugo,2011,7+,7.5,93%,1,0,0,0,"Drama,Family,Fantasy,Mystery",44826,126.0,7.0,2197.0
60,61,Ant-Man and the Wasp,2018,13+,7.1,88%,1,0,0,0,"Action,Adventure,Comedy,Sci-Fi",,,,
61,62,As Good as It Gets,1997,13+,7.7,85%,1,0,0,0,"Comedy,Drama,Romance",2898,139.0,7.2,946.0
62,63,Back to the Future Part III,1990,7+,7.4,80%,1,0,0,0,"Adventure,Comedy,Sci-Fi,Western",196,118.0,7.1,2978.0
