Security,headline,pub_date,Source
Abbott Laboratories,"Microsoft, with a new ally in Walmart, and Oracle have submitted takeover bids for the video app. A deal could be reached soon.",2020-08-28T12:20:07+0000,New York Time
Abbott Laboratories,Pro sports are going on strike. Will other industries follow?,2020-08-27T11:37:43+0000,New York Time
AbbVie Inc.,A quick spin through the markets.,2020-08-13T12:11:47+0000,New York Time
AbbVie Inc.,"Microsoft, with a new ally in Walmart, and Oracle have submitted takeover bids for the video app. A deal could be reached soon.",2020-08-28T12:20:07+0000,New York Time
Accenture plc,"With deliveries surging during the pandemic, carriers like UPS and FedEx and companies like Amazon are renewing their push toward electric vehicles.",2020-08-27T10:00:09+0000,New York Time
Activision Blizzard,The restrictions on the two Chinese-owned apps followed a familiar model for other policy announcements on China from the Trump administration.,2020-08-07T21:56:55+0000,New York Time
Activision Blizzard,Game publishers are digging through their vaults to remake or remaster popular titles in a bid to kindle players’ nostalgia.,2020-08-01T09:00:24+0000,New York Time
Activision Blizzard,"The government cited national security concerns in announcing sweeping restrictions on two popular Chinese social media networks, a move that is likely to be met with retaliation.",2020-08-07T02:08:14+0000,New York Time
Adobe Inc.,"Yes, you can now pay less than $399 for a smartphone — and it won’t stink.",2020-08-03T15:00:09+0000,New York Time
Alaska Air Group Inc,A new suitor emerges for TikTok and the White House imposes more restrictions on Huawei. The net effect of such moves could be a fracturing of the web.,2020-08-18T11:22:09+0000,New York Time
Align Technology,A Labor Department lawyer asserts that she faced reprisal after saying Secretary Eugene Scalia was set to settle a suit for a sum she found too low.,2020-08-13T17:56:11+0000,New York Time
Align Technology,"Dr. Tufekci, a computer programmer who became a sociologist, sounded an early alarm on the need for protective masks. It wasn’t the first time she was right about something big.",2020-08-24T00:30:06+0000,New York Time
Allegion,"Investigators have charged big spenders with cheating the Paycheck Protection Program for small businesses. But more fraud lies below the surface, and it’ll be harder to find.",2020-08-28T15:39:03+0000,New York Time
Allegion,"In a discrimination complaint, Bernadette Zilio says women were mistreated at the celebrity-news powerhouse led by Harvey Levin.",2020-08-25T21:34:53+0000,New York Time
Allegion,Paul Telegdy leaves the network ahead of a pending investigation into his workplace behavior.,2020-08-06T16:10:13+0000,New York Time
