,Ticker,Security Name,Percent Change,Industry
345,NCLH,Norwegian Cruise Line Holdings,-81.39139409760772,Consumer Discretionary
340,NBL,Noble Energy,-78.90278408260303,Energy
44,APA,Apache Corporation,-78.75486429548852,Energy
402,RCL,Royal Caribbean Group,-77.7480491601769,Consumer Discretionary
218,HAL,Halliburton Co.,-75.94167708086208,Energy
141,FANG,Diamondback Energy,-74.83663614881561,Energy
433,FTI,TechnipFMC,-73.28671414793804,Energy
85,CCL,Carnival Corp.,-71.62609517473096,Consumer Discretionary
157,DXC,DXC Technology,-71.46989027152863,Information Technology
351,OXY,Occidental Petroleum,-71.1265910416469,Energy
