,Ticker,Security Name,Percent Change,Industry
480,WEC,WEC Energy Group,0.30302897691885256,Utilities
259,JKHY,Jack Henry & Associates,1.017276903629502,Information Technology
262,SJM,JM Smucker,3.5628533394116593,Consumer Staples
212,GILD,Gilead Sciences,5.142687027863487,Health Care
405,SBAC,SBA Communications,6.452414659928592,Real Estate
142,DLR,Digital Realty Trust Inc,6.9160863883174315,Real Estate
277,KR,Kroger Co.,7.130553378789507,Consumer Staples
399,ROL,Rollins Inc.,7.551137770125918,Industrials
109,CLX,The Clorox Company,13.893595566694177,Consumer Staples
393,REGN,Regeneron Pharmaceuticals,16.621689569382443,Health Care
