,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Karratha,0,AU,1599618756,20,-20.74,116.85,94.24,8.81
1,Manicoré,8,BR,1599619056,83,-5.81,-61.3,82.4,3.36
2,Tuktoyaktuk,90,CA,1599619057,88,69.45,-133.04,35.6,4.7
3,Chiredzi,0,ZW,1599619059,80,-21.05,31.67,59.49,4.83
4,Hermanus,5,ZA,1599619061,89,-34.42,19.23,57.0,1.01
5,Jamestown,1,US,1599619062,93,42.1,-79.24,64.99,3.36
6,Ribeira Grande,76,PT,1599619065,83,38.52,-28.7,72.63,10.29
7,Port Alfred,0,ZA,1599619066,38,-33.59,26.89,70.84,8.75
8,Parabel',62,RU,1599618789,90,58.7,81.48,46.71,5.7
9,Fortuna,20,US,1599619069,87,40.6,-124.16,63.0,3.87
10,Cape Town,75,ZA,1599618885,93,-33.93,18.42,59.0,1.12
11,Avarua,100,CK,1599619073,78,-21.21,-159.78,73.4,13.87
12,Rikitea,0,PF,1599619075,76,-23.12,-134.97,72.48,12.26
13,Mataura,100,NZ,1599619076,72,-46.19,168.86,45.0,11.01
14,Punta Arenas,52,CL,1599619078,75,-53.15,-70.92,41.0,18.34
15,Shingū,75,JP,1599619080,94,33.73,135.98,73.4,1.12
16,Naze,75,JP,1599619082,100,28.37,129.48,77.0,3.36
17,Busselton,100,AU,1599619025,50,-33.65,115.33,66.0,10.2
18,Bredasdorp,6,ZA,1599619086,89,-34.53,20.04,57.0,1.01
19,Labuhan,29,ID,1599619088,56,-6.88,112.21,87.12,4.85
20,Rome,1,US,1599618940,78,43.21,-75.46,71.6,3.36
21,La Rioja,0,ES,1599619092,81,42.25,-2.5,53.6,5.55
22,Saskylakh,0,RU,1599619094,48,71.92,114.08,52.86,11.5
23,Tubinskiy,45,RU,1599619096,93,52.89,58.22,48.2,4.47
24,Butembo,11,CD,1599619097,98,0.15,29.28,56.88,2.73
25,Kudahuvadhoo,94,MV,1599619099,78,2.67,72.89,82.22,12.73
26,Thompson,75,CA,1599619075,86,55.74,-97.86,37.4,2.24
27,Te Anau,100,NZ,1599619103,87,-45.42,167.72,48.83,5.19
28,Vaini,75,TO,1599619104,78,-21.2,-175.2,75.2,13.87
29,Nikolskoye,90,RU,1599619106,87,59.7,30.79,53.6,2.95
30,Adrar,30,MR,1599619108,19,20.5,-10.07,95.18,10.0
31,Geraldton,75,AU,1599619110,72,-28.77,114.6,68.0,12.75
32,Ushuaia,20,AR,1599619044,52,-54.8,-68.3,42.8,16.11
33,Utica,1,US,1599619114,78,43.1,-75.23,71.6,3.36
34,Longyearbyen,40,SJ,1599619116,81,78.22,15.64,39.2,23.04
35,Raton,90,US,1599618887,80,36.9,-104.44,36.0,16.11
36,Hithadhoo,4,MV,1599619120,77,-0.6,73.08,82.02,11.45
37,Roald,80,NO,1599619122,82,62.58,6.13,55.4,19.46
38,Upington,0,ZA,1599619125,26,-28.45,21.26,60.8,1.12
39,Port Elizabeth,0,ZA,1599619127,72,-33.92,25.57,62.6,13.87
40,Kahului,40,US,1599619129,48,20.89,-156.47,87.8,23.04
41,Fredericton,1,CA,1599618987,93,45.95,-66.67,64.99,5.82
42,Meulaboh,40,ID,1599618851,69,4.14,96.13,83.25,1.19
43,Osmanabad,100,IN,1599619134,76,18.17,76.05,78.26,5.73
44,Orodara,99,BF,1599619136,100,10.95,-4.93,73.4,6.93
45,Port Lincoln,0,AU,1599619139,63,-34.73,135.87,57.69,14.47
46,Bengkulu,28,ID,1599619140,61,-3.8,102.27,85.44,3.98
47,Longfeng,100,CN,1599619142,82,46.55,125.12,64.58,21.52
48,Puerto Ayora,40,EC,1599619145,87,-0.74,-90.35,68.0,5.01
49,Butaritari,64,KI,1599619146,75,3.07,172.79,82.53,8.61
50,Albany,0,US,1599618929,69,42.6,-73.97,71.01,2.57
51,Pierre,1,US,1599618928,52,44.37,-100.35,45.0,5.28
52,Nuuk,100,GL,1599619150,70,64.18,-51.72,42.8,18.34
53,Pucallpa,75,PE,1599619152,83,-8.38,-74.55,78.8,2.51
54,Ambulu,6,ID,1599619153,58,-8.35,113.61,86.27,6.85
55,Grodków,0,PL,1599619154,76,50.7,17.38,55.99,4.7
56,Guerrero Negro,0,MX,1599619126,68,27.98,-114.06,77.27,14.34
57,Faya,38,SA,1599619157,42,18.39,42.45,68.0,3.36
58,Denpasar,75,ID,1599618979,89,-8.65,115.22,84.2,14.99
59,Cootamundra,100,AU,1599619161,75,-34.65,148.03,69.01,1.99
60,Aklavik,90,CA,1599619162,87,68.22,-135.01,42.8,5.82
61,Barrow,90,US,1599619077,69,71.29,-156.79,35.6,3.36
62,Alofi,90,NU,1599619165,83,-19.06,-169.92,75.2,16.11
63,Airai,88,TL,1599619166,52,-8.93,125.41,75.43,6.31
64,Klaksvík,33,FO,1599619168,87,62.23,-6.59,50.0,17.22
65,Marawi,19,PH,1599619170,76,8.0,124.29,84.0,5.99
66,Saint-Philippe,58,RE,1599619171,82,-21.36,55.77,68.0,6.93
67,Saint Paul Harbor,75,US,1599619172,71,57.79,-152.41,55.4,4.7
68,Kapaa,20,US,1599618878,62,22.08,-159.32,86.0,12.75
69,Cherskiy,100,RU,1599619176,88,68.75,161.3,40.05,10.0
70,Hobart,75,AU,1599619177,71,-42.88,147.33,59.0,14.99
71,Puerto Maldonado,86,PE,1599619179,71,-12.6,-69.18,75.72,2.51
